"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1970","1970","HOUR","Hours","0","Units",,,1775,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1971","1971","HOUR","Hours","0","Units",,,1740,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1972","1972","HOUR","Hours","0","Units",,,1709,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1973","1973","HOUR","Hours","0","Units",,,1761,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1974","1974","HOUR","Hours","0","Units",,,1725,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1975","1975","HOUR","Hours","0","Units",,,1720,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1976","1976","HOUR","Hours","0","Units",,,1705,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1977","1977","HOUR","Hours","0","Units",,,1687,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1978","1978","HOUR","Hours","0","Units",,,1669,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1979","1979","HOUR","Hours","0","Units",,,1662,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1980","1980","HOUR","Hours","0","Units",,,1619,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1981","1981","HOUR","Hours","0","Units",,,1567,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1982","1982","HOUR","Hours","0","Units",,,1581,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1983","1983","HOUR","Hours","0","Units",,,1568,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1984","1984","HOUR","Hours","0","Units",,,1583,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1985","1985","HOUR","Hours","0","Units",,,1613,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1986","1986","HOUR","Hours","0","Units",,,1616,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1987","1987","HOUR","Hours","0","Units",,,1606,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1988","1988","HOUR","Hours","0","Units",,,1642,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1989","1989","HOUR","Hours","0","Units",,,1631,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1990","1990","HOUR","Hours","0","Units",,,1618,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1991","1991","HOUR","Hours","0","Units",,,1615,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1992","1992","HOUR","Hours","0","Units",,,1583,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1993","1993","HOUR","Hours","0","Units",,,1577,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1994","1994","HOUR","Hours","0","Units",,,1586,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1995","1995","HOUR","Hours","0","Units",,,1586,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1996","1996","HOUR","Hours","0","Units",,,1586,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1997","1997","HOUR","Hours","0","Units",,,1586,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1998","1998","HOUR","Hours","0","Units",,,1582,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","1999","1999","HOUR","Hours","0","Units",,,1573,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2000","2000","HOUR","Hours","0","Units",,,1558,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2001","2001","HOUR","Hours","0","Units",,,1563,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2002","2002","HOUR","Hours","0","Units",,,1543,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2003","2003","HOUR","Hours","0","Units",,,1534,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2004","2004","HOUR","Hours","0","Units",,,1534,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2005","2005","HOUR","Hours","0","Units",,,1544,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2006","2006","HOUR","Hours","0","Units",,,1536,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2007","2007","HOUR","Hours","0","Units",,,1541,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2008","2008","HOUR","Hours","0","Units",,,1525,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2009","2009","HOUR","Hours","0","Units",,,1516,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2010","2010","HOUR","Hours","0","Units",,,1507,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2011","2011","HOUR","Hours","0","Units",,,1515,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2012","2012","HOUR","Hours","0","Units",,,1531,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2013","2013","HOUR","Hours","0","Units",,,1534,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2014","2014","HOUR","Hours","0","Units",,,1542,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2015","2015","HOUR","Hours","0","Units",,,1525,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2016","2016","HOUR","Hours","0","Units",,,1541,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2017","2017","HOUR","Hours","0","Units",,,1536,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2018","2018","HOUR","Hours","0","Units",,,1536,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2019","2019","HOUR","Hours","0","Units",,,1537,,
"GBR","United Kingdom","T_HRSAV","Average hours worked per person employed","PEHRS","Persons/Hours","2020","2020","HOUR","Hours","0","Units",,,1367,,
