COUNTRY,Country,BIRTH,Place of birth,GENDER,Gender,RATE,Rate,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,6.2,,
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,8.4,,
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,10.4,,
CAN,Canada,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,6.7,,
CZE,Czech Republic,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,4.9,,
AUS,Australia,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,4.8,,
AUT,Austria,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,3.3,,
BEL,Belgium,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,3.8,,
CAN,Canada,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,4.8,,
CZE,Czech Republic,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,2.3,,
DNK,Denmark,NB,Native-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,4.9,,
DNK,Denmark,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,PC,Percentage,0,Units,,,9,,
