,Rank,Outlet,Total Visits,Location
0,1,Run Free,21062656609,"Buenos Aires, Argentina"
1,2,T: The New York Times Style Magazine,317282633,"New York, NY"
2,3,The New York Times Magazine,317282633,"New York, NY"
3,4,The Observer Magazine,281909734,"London, United Kingdom"
4,5,Observer Design,281909734,"London, United Kingdom"
5,6,Dazed China,184320742,"Shanghai, China"
6,7,Illumination Curated,175031599,Australia
7,8,Icon - El PaÃ­s,130621724,"Madrid, Spain"
8,9,Buena Vida,130621724,"Madrid, Spain"
9,10,Yo Dona,107096686,"Madrid, Spain"
